VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
2,2017-06-01 00:04:07,2017-06-01 00:21:11,N,1,255,33,1,4.31,16.5,0.5,0.5,4.45,0,,0.3,22.25,1,1
2,2017-06-01 00:04:26,2017-06-01 00:21:19,N,1,65,65,1,2.22,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-06-01 00:06:36,2017-06-01 00:21:42,N,1,244,163,1,6.88,21,0.5,0.5,4.46,0,,0.3,26.76,1,1
2,2017-06-01 00:09:58,2017-06-01 00:21:03,N,1,7,82,1,2.13,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2017-06-01 00:07:30,2017-06-01 00:21:21,N,1,255,25,1,4.35,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2017-06-01 00:09:22,2017-06-01 00:22:17,N,1,25,61,2,2.90,12,0.5,0.5,3.32,0,,0.3,16.62,1,1
2,2017-06-01 00:11:02,2017-06-01 00:22:26,N,1,25,17,1,2.30,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2017-06-01 00:05:23,2017-06-01 00:21:48,N,1,37,7,1,5.97,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2017-06-01 00:10:56,2017-06-01 00:22:15,N,1,66,79,2,4.22,14,0.5,0.5,4.7,0,,0.3,20,1,1
2,2017-06-01 00:11:42,2017-06-01 00:22:26,N,1,49,61,1,2.61,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-06-01 00:08:15,2017-06-01 00:22:51,N,1,7,82,3,2.89,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-06-01 00:04:54,2017-06-01 00:22:58,N,1,129,9,1,9.66,28,0.5,0.5,5.86,0,,0.3,35.16,1,1
2,2017-06-01 00:05:20,2017-06-01 00:22:48,N,1,42,107,1,7.18,23,0.5,0.5,4.86,0,,0.3,29.16,1,1
2,2017-06-01 00:07:24,2017-06-01 00:23:01,N,1,255,113,1,3.54,14,0.5,0.5,3.06,0,,0.3,18.36,1,1
2,2017-06-01 00:08:35,2017-06-01 00:23:12,N,1,255,25,1,3.83,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2017-06-01 00:11:58,2017-06-01 00:23:14,N,1,255,37,2,2.41,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1
2,2017-06-01 00:08:02,2017-06-01 00:24:41,N,1,36,144,1,4.41,16,0.5,0.5,3.46,0,,0.3,20.76,1,1
2,2017-06-01 00:13:16,2017-06-01 00:24:32,N,1,83,223,1,2.30,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-06-01 00:10:28,2017-06-01 00:24:49,N,1,255,226,1,3.21,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2017-06-01 00:00:08,2017-06-01 00:25:09,N,1,41,144,1,9.18,29.5,0.5,0.5,7.7,0,,0.3,38.5,1,1
2,2017-06-01 00:04:20,2017-06-01 00:24:13,N,1,255,195,2,4.94,18,0.5,0.5,3.86,0,,0.3,23.16,1,1
2,2017-06-01 00:10:22,2017-06-01 00:25:56,N,1,255,80,1,2.78,12.5,0.5,0.5,3,0,,0.3,16.8,1,1
2,2017-06-01 00:06:49,2017-06-01 00:26:15,N,1,129,173,1,2.23,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2017-06-01 00:07:59,2017-06-01 00:27:06,N,1,112,225,1,3.28,15,0.5,0.5,3.26,0,,0.3,19.56,1,1
2,2017-06-01 00:10:54,2017-06-01 00:26:59,N,1,188,91,1,3.06,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2017-06-01 00:08:46,2017-06-01 00:27:54,N,1,255,145,1,2.59,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2017-06-01 00:00:40,2017-06-01 00:29:41,N,1,129,46,3,13.97,40.5,0.5,0.5,0,5.76,,0.3,47.56,2,1
2,2017-06-01 00:06:59,2017-06-01 00:29:55,N,1,42,48,1,6.20,22.5,0.5,0.5,4.76,0,,0.3,28.56,1,1
2,2017-06-01 00:07:12,2017-06-01 00:29:49,N,1,7,75,1,6.57,22,0.5,0.5,0,0,,0.3,23.3,2,1
2,2017-06-01 00:10:27,2017-06-01 00:30:21,N,1,255,249,1,4.68,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1
2,2017-06-01 00:07:44,2017-06-01 00:29:56,N,1,193,42,1,7.69,24,0.5,0.5,0,0,,0.3,25.3,2,1
2,2017-06-01 00:09:57,2017-06-01 00:31:39,N,1,255,158,1,4.91,19,0.5,0.5,4.06,0,,0.3,24.36,1,1
2,2017-06-01 00:13:53,2017-06-01 00:32:07,N,1,145,92,1,9.19,27,0.5,0.5,5.66,0,,0.3,33.96,1,1
2,2017-06-01 00:08:05,2017-06-01 00:33:33,N,1,188,79,1,6.59,23,0.5,0.5,3.64,0,,0.3,29.89,1,1
2,2017-06-01 00:09:55,2017-06-01 00:35:50,N,1,66,239,1,7.44,25.5,0.5,0.5,5.36,0,,0.3,32.16,1,1
2,2017-06-01 00:04:48,2017-06-01 00:36:14,N,1,42,226,1,8.47,29.5,0.5,0.5,6.16,0,,0.3,36.96,1,1
2,2017-06-01 00:07:42,2017-06-01 00:39:10,N,1,255,239,1,8.85,29,0.5,0.5,6.06,0,,0.3,36.36,1,1
2,2017-06-01 00:07:28,2017-06-01 00:42:06,N,5,61,74,2,14.01,45,0,0,0,0,,0,45,1,2
2,2017-06-01 00:08:27,2017-06-01 00:44:34,N,1,189,166,1,13.22,40,0.5,0.5,10.32,0,,0.3,51.62,1,1
2,2017-06-01 00:44:19,2017-06-01 01:03:33,N,1,255,88,1,4.45,17,0.5,0.5,3.7,0,,0.3,22,1,1
2,2017-06-01 00:11:34,2017-06-02 00:06:47,N,5,168,168,9,.01,8.09,0,0,0,0,,0,8.09,2,2
2,2017-06-01 00:12:09,2017-06-01 00:14:39,N,1,7,179,4,.63,4,0.5,0.5,0.7,0,,0.3,6,1,1
2,2017-06-01 00:11:16,2017-06-01 00:15:40,N,1,255,217,1,1.03,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,2017-06-01 00:13:00,2017-06-01 00:16:23,N,1,25,49,1,.96,5,0.5,0.5,0,0,,0.3,6.3,1,1
2,2017-06-01 00:14:12,2017-06-01 00:17:11,N,1,7,7,1,.71,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-06-01 00:13:37,2017-06-01 00:16:52,N,1,112,112,1,.57,4,0.5,0.5,1.32,0,,0.3,6.62,1,1
2,2017-06-01 00:15:30,2017-06-01 00:17:16,N,1,168,168,1,.27,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-06-01 00:11:11,2017-06-01 00:17:16,N,1,255,80,1,1.17,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-06-01 00:14:12,2017-06-01 00:17:11,N,1,7,7,1,.71,-4.5,-0.5,-0.5,0,0,,-0.3,-5.8,4,1
2,2017-06-01 00:10:11,2017-06-01 00:18:20,N,1,256,4,1,2.53,9.5,0.5,0.5,1.62,0,,0.3,12.42,1,1
2,2017-06-01 00:13:49,2017-06-01 00:18:12,N,1,256,80,1,.90,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2017-06-01 00:11:45,2017-06-01 00:18:05,N,1,82,83,1,1.21,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2017-06-01 00:13:02,2017-06-01 00:17:05,N,1,92,92,1,.80,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:15:09,2017-06-01 00:18:19,N,1,74,75,1,1.14,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-06-01 00:13:16,2017-06-01 00:18:02,N,1,95,93,1,1.34,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-06-01 00:12:59,2017-06-01 00:19:35,N,1,75,74,1,2.51,9,0.5,0.5,1.7,0,,0.3,12,1,1
2,2017-06-01 00:14:57,2017-06-01 00:19:28,N,1,75,236,1,1.15,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-06-01 00:11:54,2017-06-01 00:19:31,N,1,82,70,1,3.07,11,0.5,0.5,0,0,,0.3,12.3,2,1
